GEO_ID,NAME,totalHHS,hascomputer,dialup,broadband,nointernet,nocomputer,totalpopover16,laborforceparticipationrate,unemploymentrate,popabove20underpoverty
1400000US53061051926,"Census Tract 519.26, Snohomish County, Washington",1876,1810,0,1791,19,66,4432,67.9,3.4,6.8
1400000US53061051927,"Census Tract 519.27, Snohomish County, Washington",1972,1937,0,1822,115,35,4440,74.8,4.5,10.5
1400000US53061051928,"Census Tract 519.28, Snohomish County, Washington",2177,2130,0,1998,132,47,4655,70.3,4,34.6
1400000US53061052003,"Census Tract 520.03, Snohomish County, Washington",3344,3314,0,3179,135,30,7344,74.9,6.6,0
1400000US53061052004,"Census Tract 520.04, Snohomish County, Washington",2592,2489,36,2360,93,103,5425,65.2,2.1,0
1400000US53061052005,"Census Tract 520.05, Snohomish County, Washington",2551,2395,0,2312,83,156,4889,66.9,1.2,0
1400000US53061052006,"Census Tract 520.06, Snohomish County, Washington",1517,1508,7,1477,24,9,3517,68.1,2.2,0
1400000US53061052007,"Census Tract 520.07, Snohomish County, Washington",1830,1809,0,1693,116,21,4244,75.9,3.9,0
1400000US53061052104,"Census Tract 521.04, Snohomish County, Washington",1275,1229,0,1185,44,46,3028,72.2,6.3,25.5
1400000US53061052105,"Census Tract 521.05, Snohomish County, Washington",686,653,5,606,42,33,1462,65.5,3.5,0
1400000US53061052107,"Census Tract 521.07, Snohomish County, Washington",1747,1708,10,1656,42,39,4043,68.7,2.6,23.4
1400000US53061052108,"Census Tract 521.08, Snohomish County, Washington",2155,2155,53,2060,42,0,5418,68.5,4.8,30.5
1400000US53061052112,"Census Tract 521.12, Snohomish County, Washington",946,901,12,863,26,45,2142,65.5,5.1,78.8
1400000US53061052113,"Census Tract 521.13, Snohomish County, Washington",1109,1098,0,1061,37,11,2505,68.3,4.4,40
1400000US53061052114,"Census Tract 521.14, Snohomish County, Washington",1524,1524,0,1501,23,0,3573,73.1,3.8,-
1400000US53061052115,"Census Tract 521.15, Snohomish County, Washington",2309,2246,0,2192,54,63,5572,74.4,0.9,0
1400000US53061052118,"Census Tract 521.18, Snohomish County, Washington",2567,2486,0,2417,69,81,5915,70.5,3.6,0
1400000US53061052203,"Census Tract 522.03, Snohomish County, Washington",1912,1855,0,1794,61,57,4249,74.7,2.8,10.9
1400000US53061052204,"Census Tract 522.04, Snohomish County, Washington",1802,1802,0,1783,19,0,4518,73.8,3,0
1400000US53061052206,"Census Tract 522.06, Snohomish County, Washington",1667,1629,13,1580,36,38,3924,67.9,3.5,75.8
1400000US53061052207,"Census Tract 522.07, Snohomish County, Washington",2036,1942,0,1759,183,94,4714,71.5,4.3,0
1400000US53061052208,"Census Tract 522.08, Snohomish County, Washington",1648,1455,0,1348,107,193,3280,68.9,5.4,14.3
1400000US53061052209,"Census Tract 522.09, Snohomish County, Washington",986,912,0,817,95,74,5244,28.6,5.8,32.8
1400000US53061052301,"Census Tract 523.01, Snohomish County, Washington",1725,1702,7,1635,60,23,4409,69.7,4.3,54.5
1400000US53061052302,"Census Tract 523.02, Snohomish County, Washington",1451,1382,8,1306,68,69,3517,64.5,5.7,25.5
1400000US53061052401,"Census Tract 524.01, Snohomish County, Washington",1599,1415,14,1347,54,184,3476,63.7,5.4,6
1400000US53061052402,"Census Tract 524.02, Snohomish County, Washington",1860,1642,0,1452,190,218,3324,69.2,3.5,21.8
1400000US53061052502,"Census Tract 525.02, Snohomish County, Washington",1758,1639,0,1598,41,119,3928,67.5,4.4,17.8
1400000US53061052503,"Census Tract 525.03, Snohomish County, Washington",2692,2633,0,2491,142,59,5771,76.4,2.8,0
1400000US53061052504,"Census Tract 525.04, Snohomish County, Washington",929,872,0,839,33,57,2068,68.2,4.8,37.5
1400000US53061052603,"Census Tract 526.03, Snohomish County, Washington",878,819,0,760,59,59,1863,67.2,5.4,20
1400000US53061052604,"Census Tract 526.04, Snohomish County, Washington",1871,1814,28,1645,141,57,3754,71,3.1,27
1400000US53061052605,"Census Tract 526.05, Snohomish County, Washington",2143,1969,0,1830,139,174,4957,70.1,3.6,61.7
1400000US53061052606,"Census Tract 526.06, Snohomish County, Washington",1770,1700,38,1621,41,70,3848,66.3,1.1,13.6
1400000US53061052607,"Census Tract 526.07, Snohomish County, Washington",2056,2009,0,1858,151,47,4688,73.2,5.2,35.6
1400000US53061052701,"Census Tract 527.01, Snohomish County, Washington",564,554,10,515,29,10,1410,64.3,2.2,100
1400000US53061052705,"Census Tract 527.05, Snohomish County, Washington",2754,2633,19,2530,84,121,6594,65.6,6.3,25.8
1400000US53061052706,"Census Tract 527.06, Snohomish County, Washington",2104,2076,0,1987,89,28,4474,69.1,6.5,11.9
1400000US53061052707,"Census Tract 527.07, Snohomish County, Washington",1456,1424,0,1374,50,32,3227,74.5,2.5,100
1400000US53061052708,"Census Tract 527.08, Snohomish County, Washington",1839,1832,7,1783,42,7,4469,68.2,3.4,14.7
1400000US53061052709,"Census Tract 527.09, Snohomish County, Washington",1240,1229,0,1158,71,11,3025,65.7,2.4,0
1400000US53061052803,"Census Tract 528.03, Snohomish County, Washington",2201,2044,10,1913,121,157,4739,66,3.8,31.5
1400000US53061052804,"Census Tract 528.04, Snohomish County, Washington",2868,2735,14,2421,300,133,6047,68.9,6,7.9
1400000US53061052805,"Census Tract 528.05, Snohomish County, Washington",1757,1465,0,1422,43,292,3442,61.9,12.3,70.5
1400000US53061052806,"Census Tract 528.06, Snohomish County, Washington",2548,2513,0,2402,111,35,5795,68.5,4.6,53.6
1400000US53061052903,"Census Tract 529.03, Snohomish County, Washington",1811,1697,6,1492,199,114,3397,68.8,9.1,41.3
1400000US53061052904,"Census Tract 529.04, Snohomish County, Washington",2139,1979,17,1864,98,160,4534,62.1,1.2,0
1400000US53061052905,"Census Tract 529.05, Snohomish County, Washington",1872,1573,7,1467,99,299,3683,61.4,10,29.9
1400000US53061052906,"Census Tract 529.06, Snohomish County, Washington",1829,1668,0,1508,160,161,3955,63.4,3.5,0
1400000US53061053101,"Census Tract 531.01, Snohomish County, Washington",1511,1413,28,1302,83,98,3239,59.6,6.1,20
1400000US53061053102,"Census Tract 531.02, Snohomish County, Washington",1995,1882,0,1772,110,113,4462,65.8,3.9,30.4
1400000US53061053201,"Census Tract 532.01, Snohomish County, Washington",1723,1580,17,1440,123,143,3546,55.9,2.6,68.3
1400000US53061053202,"Census Tract 532.02, Snohomish County, Washington",1674,1619,16,1459,144,55,3910,62.6,0.6,0
1400000US53061053301,"Census Tract 533.01, Snohomish County, Washington",2581,2334,0,2151,183,247,5290,65.9,3.8,10.2
1400000US53061053302,"Census Tract 533.02, Snohomish County, Washington",2077,1916,0,1853,63,161,4528,65.3,4.7,0
1400000US53061053400,"Census Tract 534, Snohomish County, Washington",2163,2020,15,1833,172,143,5037,61.5,3.9,44.7
1400000US53061053504,"Census Tract 535.04, Snohomish County, Washington",2639,2288,0,2111,177,351,5098,67.1,5.8,0
1400000US53061053505,"Census Tract 535.05, Snohomish County, Washington",2010,1917,30,1763,124,93,4234,65,6.4,21.2
1400000US53061053506,"Census Tract 535.06, Snohomish County, Washington",1938,1770,13,1633,124,168,4461,62.1,2.9,0
1400000US53061053507,"Census Tract 535.07, Snohomish County, Washington",1768,1648,21,1597,30,120,4054,68.2,1.9,14.7
1400000US53061053508,"Census Tract 535.08, Snohomish County, Washington",1199,1180,0,1115,65,19,2748,58.3,9.1,78
1400000US53061053509,"Census Tract 535.09, Snohomish County, Washington",1585,1492,19,1323,150,93,3189,69.5,4.6,50.5
1400000US53061053602,"Census Tract 536.02, Snohomish County, Washington",2265,2110,11,1831,268,155,5189,59.4,3.2,38.4
1400000US53061053603,"Census Tract 536.03, Snohomish County, Washington",1537,1434,0,1331,103,103,3459,70,3.8,19.8
1400000US53061053604,"Census Tract 536.04, Snohomish County, Washington",1732,1474,0,1424,50,258,3441,66.6,3.3,23.5
1400000US53061053700,"Census Tract 537, Snohomish County, Washington",1244,1142,7,975,160,102,2384,52,10.3,59.5
1400000US53061053801,"Census Tract 538.01, Snohomish County, Washington",1454,1370,23,1223,124,84,3108,63.5,4.7,2.5
1400000US53061053802,"Census Tract 538.02, Snohomish County, Washington",2198,1988,6,1838,144,210,4680,68.3,4.4,13.8
1400000US53061053803,"Census Tract 538.03, Snohomish County, Washington",2106,1875,14,1744,117,231,4061,64.6,4.9,21.7
1400000US53061940001,"Census Tract 9400.01, Snohomish County, Washington",2259,2112,17,1903,192,147,5209,59.4,9.1,55.6
1400000US53061940002,"Census Tract 9400.02, Snohomish County, Washington",1412,1291,0,1182,109,121,2957,58.4,6.1,51.1
