geo_id,name,total,hascomputer,dialup,broadband,nointernet,nocomputer
0500000US29165,"Platte County, Missouri",38613,36583,136,34273,2174,2030
0500000US29187,"St. Francois County, Missouri",24910,20492,116,18610,1766,4418
0500000US29003,"Andrew County, Missouri",6807,5856,90,5125,641,951
0500000US29033,"Carroll County, Missouri",3552,2868,40,2344,484,684
0500000US29061,"Daviess County, Missouri",2991,2391,61,2136,194,600
0500000US29103,"Knox County, Missouri",1533,1195,16,925,254,338
0500000US29127,"Marion County, Missouri",11500,9818,128,8658,1032,1682
0500000US29151,"Osage County, Missouri",5113,4143,27,3221,895,970
0500000US29181,"Ripley County, Missouri",5154,4001,21,3139,841,1153
0500000US29219,"Warren County, Missouri",12232,10546,119,9211,1216,1686
0500000US29007,"Audrain County, Missouri",9328,7461,94,6388,979,1867
0500000US29043,"Christian County, Missouri",31097,28529,127,24968,3434,2568
0500000US29077,"Greene County, Missouri",122026,107183,435,90906,15842,14843
0500000US29081,"Harrison County, Missouri",3556,2951,45,2611,295,605
0500000US29185,"St. Clair County, Missouri",4126,3151,37,2639,475,975
0500000US29001,"Adair County, Missouri",9513,8087,34,6717,1336,1426
0500000US29199,"Scotland County, Missouri",1820,1501,7,1297,197,319
0500000US29211,"Sullivan County, Missouri",2174,1641,31,1378,232,533
0500000US29045,"Clark County, Missouri",2942,2295,36,1970,289,647
0500000US29099,"Jefferson County, Missouri",84393,76260,420,68785,7055,8133
0500000US29111,"Lewis County, Missouri",3766,3099,78,2663,358,667
0500000US29143,"New Madrid County, Missouri",7312,5814,2,4968,844,1498
0500000US29157,"Perry County, Missouri",7605,6314,43,5755,516,1291
0500000US29173,"Ralls County, Missouri",4004,3351,37,3000,314,653
0500000US29177,"Ray County, Missouri",8785,7519,61,6471,987,1266
0500000US29189,"St. Louis County, Missouri",403547,365989,1527,338974,25488,37558
0500000US29209,"Stone County, Missouri",12841,11126,152,9797,1177,1715
0500000US29009,"Barry County, Missouri",13211,10905,81,8186,2638,2306
0500000US29019,"Boone County, Missouri",69957,65373,293,57501,7579,4584
0500000US29039,"Cedar County, Missouri",5785,4719,63,4070,586,1066
0500000US29055,"Crawford County, Missouri",9473,7309,136,6228,945,2164
0500000US29093,"Iron County, Missouri",4156,3169,28,2469,672,987
0500000US29117,"Livingston County, Missouri",5882,4817,30,3930,857,1065
0500000US29135,"Moniteau County, Missouri",5346,4251,81,3295,875,1095
0500000US29149,"Oregon County, Missouri",4307,3307,68,2245,994,1000
0500000US29069,"Dunklin County, Missouri",12427,9822,24,8624,1174,2605
0500000US29159,"Pettis County, Missouri",15921,13540,121,11651,1768,2381
0500000US29186,"Ste. Genevieve County, Missouri",7134,5928,74,5029,825,1206
0500000US29175,"Randolph County, Missouri",8347,6901,45,6179,677,1446
0500000US29071,"Franklin County, Missouri",40780,35718,356,30824,4538,5062
0500000US29089,"Howard County, Missouri",3559,2911,52,2523,336,648
0500000US29095,"Jackson County, Missouri",282653,246886,989,219926,25971,35767
0500000US29131,"Miller County, Missouri",9804,8122,88,6493,1541,1682
0500000US29169,"Pulaski County, Missouri",15026,13406,121,11778,1507,1620
0500000US29171,"Putnam County, Missouri",1803,1467,17,1119,331,336
0500000US29213,"Taney County, Missouri",22366,19832,207,17101,2524,2534
0500000US29215,"Texas County, Missouri",9579,7756,138,5888,1730,1823
0500000US29021,"Buchanan County, Missouri",33432,27864,134,24573,3157,5568
0500000US29025,"Caldwell County, Missouri",3682,2923,23,2537,363,759
0500000US29027,"Callaway County, Missouri",16038,13523,100,11313,2110,2515
0500000US29037,"Cass County, Missouri",39444,36132,191,32346,3595,3312
0500000US29049,"Clinton County, Missouri",8157,7087,47,6301,739,1070
0500000US29053,"Cooper County, Missouri",6428,5467,38,4658,771,961
0500000US29059,"Dallas County, Missouri",6253,4980,46,3922,1012,1273
0500000US29075,"Gentry County, Missouri",2601,2069,7,1875,187,532
0500000US29085,"Hickory County, Missouri",4020,3059,70,2580,409,961
0500000US29113,"Lincoln County, Missouri",18738,16592,175,14569,1848,2146
0500000US29133,"Mississippi County, Missouri",5040,3761,13,3271,477,1279
0500000US29137,"Monroe County, Missouri",3632,2848,27,2433,388,784
0500000US29145,"Newton County, Missouri",22268,18725,142,15501,3082,3543
0500000US29153,"Ozark County, Missouri",4144,3034,69,2436,529,1110
0500000US29163,"Pike County, Missouri",6650,5346,64,4556,726,1304
0500000US29183,"St. Charles County, Missouri",144643,136270,743,127293,8234,8373
0500000US30017,"Custer County, Montana",4889,4117,127,3605,385,772
0500000US30041,"Hill County, Montana",6274,5362,82,4660,620,912
0500000US30075,"Powder River County, Montana",769,690,47,577,66,79
0500000US30067,"Park County, Montana",7691,6691,73,6063,555,1000
0500000US30085,"Roosevelt County, Montana",3156,2323,2,2062,259,833
0500000US30005,"Blaine County, Montana",2320,1840,9,1499,332,480
0500000US30051,"Liberty County, Montana",886,729,0,615,114,157
0500000US30083,"Richland County, Montana",4493,3852,11,3386,455,641
0500000US30099,"Teton County, Montana",2475,2133,14,1794,325,342
0500000US30101,"Toole County, Montana",1898,1523,13,1319,191,375
0500000US30025,"Fallon County, Montana",1302,1139,0,1043,96,163
0500000US30019,"Daniels County, Montana",856,686,3,603,80,170
0500000US30045,"Judith Basin County, Montana",923,793,13,713,67,130
0500000US30093,"Silver Bow County, Montana",15158,12426,109,10663,1654,2732
0500000US30023,"Deer Lodge County, Montana",3855,3095,9,2750,336,760
0500000US30043,"Jefferson County, Montana",4444,3949,13,3495,441,495
0500000US30055,"McCone County, Montana",704,560,16,479,65,144
0500000US30107,"Wheatland County, Montana",821,676,2,564,110,145
0500000US30087,"Rosebud County, Montana",3147,2429,408,1678,343,718
0500000US30011,"Carter County, Montana",625,509,7,468,34,116
0500000US30021,"Dawson County, Montana",3972,3354,28,3025,301,618
0500000US30007,"Broadwater County, Montana",2420,2074,50,1680,344,346
0500000US30047,"Lake County, Montana",11849,10155,133,8515,1507,1694
0500000US30073,"Pondera County, Montana",2114,1747,6,1500,241,367
0500000US30111,"Yellowstone County, Montana",65025,58375,404,52770,5201,6650
0500000US30081,"Ravalli County, Montana",17108,15045,165,13082,1798,2063
0500000US30105,"Valley County, Montana",3436,2942,40,2510,392,494
0500000US30027,"Fergus County, Montana",4975,4288,106,3794,388,687
0500000US30061,"Mineral County, Montana",1699,1409,32,1101,276,290
0500000US30069,"Petroleum County, Montana",187,150,0,139,11,37
0500000US30089,"Sanders County, Montana",4953,3773,47,3345,381,1180
0500000US30029,"Flathead County, Montana",38252,33986,382,30963,2641,4266
0500000US30109,"Wibaux County, Montana",497,403,8,300,95,94
0500000US30059,"Meagher County, Montana",749,587,12,475,100,162
0500000US30009,"Carbon County, Montana",4531,3931,56,3446,429,600
0500000US30071,"Phillips County, Montana",1770,1407,28,1191,188,363
0500000US31001,"Adams County, Nebraska",12710,11052,116,9897,1039,1658
