GEO_ID,NAME,totalpopover16,laborforceparticipationrate,unemploymentrate,popabove20underpovertylevel
0500000US30067,"Park County, Montana",13620,63.1,2.8,1327
0500000US30069,"Petroleum County, Montana",356,66,3,21
0500000US30071,"Phillips County, Montana",3241,57.1,6.9,360
0500000US30073,"Pondera County, Montana",4678,58.8,6.9,565
0500000US30075,"Powder River County, Montana",1420,68.9,1.3,101
0500000US30077,"Powell County, Montana",6000,43.6,0.9,370
0500000US30079,"Prairie County, Montana",1057,60,4.7,66
0500000US30081,"Ravalli County, Montana",34589,55.3,5.9,3018
0500000US30083,"Richland County, Montana",8977,69.5,2.4,373
0500000US30085,"Roosevelt County, Montana",7904,55.8,12,1575
0500000US30087,"Rosebud County, Montana",6926,61,7.9,837
0500000US30089,"Sanders County, Montana",9652,45.8,8.4,1228
0500000US30091,"Sheridan County, Montana",2870,66.5,2.8,244
0500000US30093,"Silver Bow County, Montana",28512,60.6,5,3795
0500000US30095,"Stillwater County, Montana",7639,61,3.9,258
0500000US30097,"Sweet Grass County, Montana",2995,54.8,0.8,175
0500000US30099,"Teton County, Montana",4784,56.9,1.8,386
0500000US30101,"Toole County, Montana",4113,53.5,0.9,350
0500000US30103,"Treasure County, Montana",646,58.7,0,64
0500000US30105,"Valley County, Montana",6113,66,5.6,362
0500000US30107,"Wheatland County, Montana",1674,60.3,3.4,159
0500000US30109,"Wibaux County, Montana",880,65.8,2.1,75
0500000US30111,"Yellowstone County, Montana",124423,67.4,3.4,8815
0500000US31001,"Adams County, Nebraska",24988,66,3.3,2141
0500000US31003,"Antelope County, Nebraska",5078,65,2,364
0500000US31005,"Arthur County, Nebraska",317,62.5,1,20
0500000US31007,"Banner County, Nebraska",559,73.3,1.2,45
0500000US31009,"Blaine County, Nebraska",383,68.9,0,34
0500000US31011,"Boone County, Nebraska",4222,69,1.7,135
0500000US31013,"Box Butte County, Nebraska",8596,65.4,5.2,644
0500000US31015,"Boyd County, Nebraska",1671,60.9,1.5,91
0500000US31017,"Brown County, Nebraska",2447,62.4,0.6,258
0500000US31019,"Buffalo County, Nebraska",38723,73.7,3,4123
0500000US31021,"Burt County, Nebraska",5210,59.9,2.9,414
0500000US31023,"Butler County, Nebraska",6438,67.2,3.1,266
0500000US31025,"Cass County, Nebraska",20159,68.3,3,915
0500000US31027,"Cedar County, Nebraska",6633,69.3,1.2,370
0500000US31029,"Chase County, Nebraska",3035,68.2,2.5,163
0500000US31031,"Cherry County, Nebraska",4676,69,1.6,267
0500000US31033,"Cheyenne County, Nebraska",7732,71.2,2.8,464
0500000US31035,"Clay County, Nebraska",4888,64.1,3.6,292
0500000US31037,"Colfax County, Nebraska",7800,71.4,3.2,663
0500000US31039,"Cuming County, Nebraska",7005,69.4,3.5,265
0500000US31041,"Custer County, Nebraska",8564,66.4,2.9,529
0500000US31043,"Dakota County, Nebraska",15005,72.4,5.4,1532
0500000US31045,"Dawes County, Nebraska",7508,61.9,1.2,615
0500000US31047,"Dawson County, Nebraska",18083,70.1,3.7,1519
0500000US31049,"Deuel County, Nebraska",1535,63.5,4.8,104
0500000US31051,"Dixon County, Nebraska",4464,68.1,3.3,343
0500000US31053,"Dodge County, Nebraska",28827,68.1,4.6,2400
0500000US31055,"Douglas County, Nebraska",427154,70.8,4.2,37790
0500000US31057,"Dundy County, Nebraska",1525,62.6,1.6,102
0500000US31059,"Fillmore County, Nebraska",4591,62.6,2.1,288
0500000US31061,"Franklin County, Nebraska",2517,60.5,1.6,239
0500000US31063,"Frontier County, Nebraska",2170,60,3.8,133
0500000US31065,"Furnas County, Nebraska",3870,62.9,2.1,246
0500000US31067,"Gage County, Nebraska",17341,65.7,3.4,1018
0500000US31069,"Garden County, Nebraska",1534,58.2,1.4,100
0500000US31071,"Garfield County, Nebraska",1617,63.1,0.2,49
0500000US31073,"Gosper County, Nebraska",1677,67.6,2.9,61
0500000US31075,"Grant County, Nebraska",581,65.1,4.3,70
0500000US31077,"Greeley County, Nebraska",1915,63,1.4,84
0500000US31079,"Hall County, Nebraska",46402,71,4.5,3612
0500000US31081,"Hamilton County, Nebraska",7300,68.6,2.5,225
0500000US31083,"Harlan County, Nebraska",2772,60.2,1.4,206
0500000US31085,"Hayes County, Nebraska",757,65.9,1,78
0500000US31087,"Hitchcock County, Nebraska",2276,60.2,4.1,177
0500000US31089,"Holt County, Nebraska",7948,72,1.1,431
0500000US31091,"Hooker County, Nebraska",595,47.6,0.4,74
0500000US31093,"Howard County, Nebraska",5023,68.5,3.3,325
0500000US31095,"Jefferson County, Nebraska",5769,62.7,1.7,471
0500000US31097,"Johnson County, Nebraska",4360,49.8,2,205
0500000US31099,"Kearney County, Nebraska",5125,68.7,2.8,272
0500000US31101,"Keith County, Nebraska",6658,64.6,3.7,405
0500000US31103,"Keya Paha County, Nebraska",639,71.5,0,21
0500000US31105,"Kimball County, Nebraska",2956,63.5,7.3,142
0500000US31107,"Knox County, Nebraska",6713,65.4,3.2,384
0500000US31109,"Lancaster County, Nebraska",245961,71.6,3.4,24989
0500000US31111,"Lincoln County, Nebraska",27814,63.8,2.7,2155
0500000US31113,"Logan County, Nebraska",668,67.5,0,32
0500000US31115,"Loup County, Nebraska",508,60.4,0.7,29
0500000US31117,"McPherson County, Nebraska",364,61,0,27
0500000US31119,"Madison County, Nebraska",27089,70.5,3,2780
0500000US31121,"Merrick County, Nebraska",6308,66.6,2.7,518
0500000US31123,"Morrill County, Nebraska",3810,66.3,5.6,225
0500000US31125,"Nance County, Nebraska",2854,63.8,3.3,244
0500000US31127,"Nemaha County, Nebraska",5724,62.3,4.5,514
0500000US31129,"Nuckolls County, Nebraska",3515,64.2,1.4,213
0500000US31131,"Otoe County, Nebraska",12495,67.8,2.8,665
0500000US31133,"Pawnee County, Nebraska",2172,57.8,3.3,200
0500000US31135,"Perkins County, Nebraska",2266,66.8,1.1,65
0500000US31137,"Phelps County, Nebraska",7219,66.9,0.7,461
0500000US31139,"Pierce County, Nebraska",5609,69.2,2.3,237
0500000US31141,"Platte County, Nebraska",25518,72.2,3.8,1315
0500000US31143,"Polk County, Nebraska",4207,66.1,5.3,197
0500000US31145,"Red Willow County, Nebraska",8687,68.1,3.2,527
0500000US31147,"Richardson County, Nebraska",6539,63.5,3.4,422
0500000US31149,"Rock County, Nebraska",1140,66.6,0.4,61
0500000US31151,"Saline County, Nebraska",11017,66.4,3.1,1040
0500000US31153,"Sarpy County, Nebraska",134025,74.8,3,5101
0500000US31155,"Saunders County, Nebraska",16375,68.5,2.4,804
0500000US31157,"Scotts Bluff County, Nebraska",28137,65.6,5.1,2322
0500000US31159,"Seward County, Nebraska",13574,67.3,2.1,676
0500000US31161,"Sheridan County, Nebraska",4155,64.5,2.4,329
0500000US31163,"Sherman County, Nebraska",2497,62.8,1.8,147
0500000US31165,"Sioux County, Nebraska",1008,66,1.1,76
0500000US31167,"Stanton County, Nebraska",4640,70.9,2.9,274
0500000US31169,"Thayer County, Nebraska",4081,64.6,1.1,211
0500000US31171,"Thomas County, Nebraska",526,68.8,1.7,28
0500000US31173,"Thurston County, Nebraska",4859,63.9,15,847
0500000US31175,"Valley County, Nebraska",3368,66.9,1.7,263
0500000US31177,"Washington County, Nebraska",15913,66.9,2.4,926
0500000US31179,"Wayne County, Nebraska",7711,72.2,1.9,855
